Sample no,fc (MPa),fy (MPa),Beam Area (m2),Col Area (m2),Bay Width X (m),Bay Width Y (m),Bay Width Z (m),No of bay X,No of bay Y,No of bay Z,Area (m2)
242,20,415,0.07475,0.0529,4.5,2.6,3.2,4,2,3,93.6
243,20,415,0.07475,0.0529,3.6,2.6,2.75,4,2,3,74.88
244,20,415,0.07475,0.0529,3.6,2.6,3,4,2,3,74.88
245,20,415,0.07475,0.0529,3.6,2.6,3.2,4,2,3,74.88
246,20,415,0.07475,0.0529,2.6,3.6,2.75,4,2,3,74.88
247,20,415,0.07475,0.0529,2.6,3.6,3,4,2,3,74.88
248,20,415,0.07475,0.0529,2.6,3.6,3.2,4,2,3,74.88
249,20,415,0.07475,0.0529,2.6,2.6,2.75,4,3,3,81.12
250,20,415,0.07475,0.0529,2.6,2.6,3,4,3,3,81.12
251,20,415,0.07475,0.0529,2.6,2.6,3.2,4,3,3,81.12
252,20,415,0.07475,0.0529,2.6,4.5,2.75,4,2,3,93.6
253,20,415,0.07475,0.0529,2.6,4.5,3,4,2,3,93.6
254,20,415,0.07475,0.0529,2.6,4.5,3.2,4,2,3,93.6
255,20,415,0.07475,0.0529,4.5,2.6,2.75,3,2,3,70.2
256,20,415,0.07475,0.0529,4.5,2.6,3,3,2,3,70.2
257,20,415,0.07475,0.0529,4.5,2.6,3.2,3,2,3,70.2
258,20,415,0.07475,0.0529,4.5,3.6,2.75,3,2,3,97.2
259,20,415,0.07475,0.0529,4.5,3.6,3,3,2,3,97.2
260,20,415,0.07475,0.0529,4.5,3.6,3.2,3,2,3,97.2
261,20,415,0.07475,0.0529,3.6,3.6,2.75,3,2,3,77.76
262,20,415,0.07475,0.0529,3.6,3.6,3,3,2,3,77.76
263,20,415,0.07475,0.0529,3.6,3.6,3.2,3,2,3,77.76
264,20,415,0.07475,0.0529,3.6,2.6,2.75,3,3,3,84.24
265,20,415,0.07475,0.0529,3.6,2.6,3,3,3,3,84.24
266,20,415,0.07475,0.0529,3.6,2.6,3.2,3,3,3,84.24
267,20,415,0.07475,0.0529,3.6,4.5,2.75,3,2,3,97.2
268,20,415,0.07475,0.0529,3.6,4.5,3,3,2,3,97.2
269,20,415,0.07475,0.0529,3.6,4.5,3.2,3,2,3,97.2
270,20,415,0.07475,0.0529,2.6,4.5,2.75,3,2,3,70.2
271,20,415,0.07475,0.0529,2.6,4.5,3,3,2,3,70.2
272,20,415,0.07475,0.0529,2.6,4.5,3.2,3,2,3,70.2
273,20,415,0.07475,0.0529,2.6,3.6,2.75,3,3,3,84.24
274,20,415,0.07475,0.0529,2.6,3.6,3,3,3,3,84.24
275,20,415,0.07475,0.0529,2.6,3.6,3.2,3,3,3,84.24
276,20,415,0.07475,0.0529,4.5,3.6,2.75,2,2,3,64.8
277,20,415,0.07475,0.0529,4.5,3.6,3,2,2,3,64.8
278,20,415,0.07475,0.0529,4.5,3.6,3.2,2,2,3,64.8
279,20,415,0.07475,0.0529,4.5,4.5,2.75,2,2,3,81
280,20,415,0.07475,0.0529,4.5,4.5,3,2,2,3,81
281,20,415,0.07475,0.0529,4.5,4.5,3.2,2,2,3,81
282,20,415,0.07475,0.0529,3.6,4.5,2.75,2,2,3,64.8
283,20,415,0.07475,0.0529,3.6,4.5,3,2,2,3,64.8
284,20,415,0.07475,0.0529,3.6,4.5,3.2,2,2,3,64.8
285,20,415,0.07475,0.0529,2.6,2.6,2.75,6,2,4,81.12
286,20,415,0.07475,0.0529,2.6,2.6,3,6,2,4,81.12
287,20,415,0.07475,0.0529,2.6,2.6,3.2,6,2,4,81.12
288,20,415,0.07475,0.0529,3.6,2.6,2.75,5,2,4,93.6
289,20,415,0.07475,0.0529,3.6,2.6,3,5,2,4,93.6
