PGA (g),PoE (IO CCP),PoE (IO Experimental),PoE (IO NBC 205 2024),PoE (LS CCP),PoE (LS Experimental),PoE (LS NBC 205 2024),PoE (CP CCP),PoE (CP Experimental),PoE (CP NBC 205 2024)
1.405405405,0.9999993643,0.9999836041,1,0.9997480849,0.8741500795,0.9996865349,0.9674021383,0.5411110697,0.8913310492
1.407407407,0.999999375,0.9999838706,1,0.9997511713,0.8745701883,0.9996930084,0.9675948187,0.5417915771,0.8921345776
1.409409409,0.9999993855,0.9999841325,1,0.9997542181,0.8749887222,0.9996993482,0.9677862866,0.5424709951,0.8929326849
1.411411411,0.9999993958,0.99998439,1,0.9997572258,0.8754056876,0.9997055574,0.9679765499,0.5431493248,0.8937254004
1.413413413,0.999999406,0.9999846432,1,0.999760195,0.8758210909,0.9997116384,0.9681656167,0.5438265676,0.8945127536
1.415415415,0.999999416,0.9999848922,1,0.9997631262,0.8762349384,0.999717594,0.9683534947,0.5445027247,0.8952947739
1.417417417,0.9999994258,0.999985137,1,0.9997660198,0.8766472365,0.9997234266,0.9685401919,0.5451777976,0.8960714903
1.419419419,0.9999994354,0.9999853776,1,0.9997688764,0.8770579915,0.9997291389,0.9687257161,0.5458517875,0.8968429322
1.421421421,0.9999994449,0.9999856143,1,0.9997716965,0.8774672095,0.9997347333,0.9689100749,0.5465246957,0.8976091286
1.423423423,0.9999994541,0.9999858469,1,0.9997744806,0.877874897,0.9997402123,0.9690932761,0.5471965235,0.8983701087
1.425425425,0.9999994633,0.9999860757,1,0.9997772291,0.8782810602,0.9997455781,0.9692753272,0.5478672723,0.8991259013
1.427427427,0.9999994722,0.9999863006,1,0.9997799425,0.8786857051,0.9997508332,0.969456236,0.5485369434,0.8998765354
1.429429429,0.9999994811,0.9999865217,1,0.9997826213,0.879088838,0.9997559798,0.9696360099,0.5492055381,0.9006220399
1.431431431,0.9999994897,0.9999867392,1,0.999785266,0.8794904651,0.9997610201,0.9698146563,0.5498730577,0.9013624434
1.433433433,0.9999994982,0.999986953,1,0.9997878769,0.8798905925,0.9997659563,0.9699921828,0.5505395037,0.9020977748
1.435435435,0.9999995066,0.9999871633,1,0.9997904546,0.8802892261,0.9997707905,0.9701685966,0.5512048772,0.9028280625
1.437437437,0.9999995148,0.99998737,1,0.9997929995,0.8806863723,0.999775525,0.9703439052,0.5518691798,0.9035533352
1.439439439,0.9999995229,0.9999875733,1,0.9997955121,0.8810820369,0.9997801616,0.9705181157,0.5525324126,0.9042736213
1.441441441,0.9999995308,0.9999877732,1,0.9997979926,0.8814762259,0.9997847024,0.9706912355,0.5531945771,0.9049889492
1.443443443,0.9999995386,0.9999879697,1,0.9998004417,0.8818689455,0.9997891495,0.9708632717,0.5538556746,0.9056993471
1.445445445,0.9999995463,0.999988163,1,0.9998028597,0.8822602015,0.9997935046,0.9710342314,0.5545157065,0.9064048434
1.447447447,0.9999995538,0.9999883531,1,0.999805247,0.8826499999,0.9997977698,0.9712041218,0.555174674,0.9071054662
1.449449449,0.9999995612,0.99998854,1,0.999807604,0.8830383466,0.9998019468,0.9713729498,0.5558325786,0.9078012434
1.451451451,0.9999995684,0.9999887238,1,0.9998099311,0.8834252475,0.9998060375,0.9715407224,0.5564894217,0.9084922031
1.453453453,0.9999995756,0.9999889045,1,0.9998122287,0.8838107085,0.9998100437,0.9717074466,0.5571452045,0.9091783732
1.455455455,0.9999995826,0.9999890823,1,0.9998144973,0.8841947354,0.9998139671,0.9718731293,0.5577999285,0.9098597815
1.457457457,0.9999995895,0.9999892571,1,0.9998167371,0.8845773341,0.9998178094,0.9720377772,0.558453595,0.9105364556
1.459459459,0.9999995963,0.999989429,1,0.9998189486,0.8849585102,0.9998215722,0.9722013973,0.5591062053,0.9112084233
1.461461461,0.9999996029,0.999989598,1,0.9998211322,0.8853382697,0.9998252573,0.9723639963,0.559757761,0.911875712
1.463463463,0.9999996095,0.9999897642,1,0.9998232881,0.8857166182,0.9998288662,0.9725255808,0.5604082632,0.9125383492
1.465465465,0.9999996159,0.9999899277,1,0.9998254169,0.8860935615,0.9998324005,0.9726861576,0.5610577135,0.9131963623
1.467467467,0.9999996222,0.9999900885,1,0.9998275188,0.8864691052,0.9998358617,0.9728457332,0.5617061131,0.9138497785
1.469469469,0.9999996285,0.9999902466,1,0.9998295942,0.8868432551,0.9998392513,0.9730043142,0.5623534635,0.914498625
1.471471471,0.9999996346,0.9999904021,1,0.9998316434,0.8872160167,0.9998425709,0.9731619071,0.562999766,0.915142929
1.473473473,0.9999996406,0.999990555,1,0.9998336668,0.8875873958,0.9998458218,0.9733185185,0.5636450221,0.9157827173
1.475475475,0.9999996465,0.9999907054,1,0.9998356647,0.8879573979,0.9998490055,0.9734741548,0.564289233,0.9164180168
1.477477477,0.9999996523,0.9999908534,1,0.9998376375,0.8883260285,0.9998521233,0.9736288223,0.5649324003,0.9170488545
1.479479479,0.999999658,0.9999909988,1,0.9998395855,0.8886932933,0.9998551767,0.9737825274,0.5655745252,0.917675257
1.481481481,0.9999996636,0.9999911419,1,0.999841509,0.8890591978,0.9998581669,0.9739352765,0.5662156092,0.9182972509
1.483483483,0.9999996691,0.9999912827,1,0.9998434083,0.8894237474,0.9998610953,0.9740870757,0.5668556537,0.9189148627
1.485485485,0.9999996745,0.9999914211,1,0.9998452838,0.8897869477,0.9998639631,0.9742379314,0.5674946601,0.9195281188
1.487487487,0.9999996798,0.9999915572,1,0.9998471358,0.8901488041,0.9998667716,0.9743878496,0.5681326297,0.9201370456
1.489489489,0.999999685,0.9999916911,1,0.9998489646,0.8905093221,0.999869522,0.9745368366,0.5687695639,0.9207416693
1.491491491,0.9999996902,0.9999918228,1,0.9998507704,0.8908685071,0.9998722155,0.9746848983,0.5694054643,0.921342016
1.493493493,0.9999996952,0.9999919523,1,0.9998525536,0.8912263644,0.9998748533,0.974832041,0.570040332,0.9219381118
1.495495495,0.9999997002,0.9999920797,1,0.9998543145,0.8915828995,0.9998774365,0.9749782706,0.5706741687,0.9225299825
1.497497497,0.9999997051,0.999992205,1,0.9998560533,0.8919381176,0.9998799663,0.975123593,0.5713069756,0.923117654
1.499499499,0.9999997099,0.9999923283,1,0.9998577704,0.8922920242,0.9998824437,0.9752680142,0.5719387542,0.9237011521
1.501501502,0.9999997146,0.9999924495,1,0.9998594661,0.8926446244,0.9998848699,0.9754115402,0.5725695058,0.9242805022
1.503503504,0.9999997192,0.9999925688,1,0.9998611405,0.8929959236,0.9998872459,0.9755541767,0.5731992319,0.9248557301
1.505505506,0.9999997238,0.9999926861,1,0.9998627941,0.8933459271,0.9998895728,0.9756959295,0.573827934,0.925426861
1.507507508,0.9999997282,0.9999928014,1,0.9998644271,0.8936946401,0.9998918515,0.9758368045,0.5744556133,0.9259939203
1.50950951,0.9999997326,0.9999929149,1,0.9998660396,0.8940420677,0.999894083,0.9759768073,0.5750822714,0.9265569333
1.511511512,0.999999737,0.9999930266,1,0.9998676321,0.8943882152,0.9998962684,0.9761159438,0.5757079096,0.9271159249
1.513513514,0.9999997412,0.9999931364,1,0.9998692048,0.8947330878,0.9998984086,0.9762542194,0.5763325294,0.9276709203
1.515515516,0.9999997454,0.9999932444,1,0.9998707578,0.8950766905,0.9999005045,0.9763916399,0.5769561321,0.9282219444
1.517517518,0.9999997495,0.9999933507,1,0.9998722916,0.8954190285,0.9999025571,0.9765282108,0.5775787193,0.9287690218
1.51951952,0.9999997536,0.9999934552,1,0.9998738063,0.895760107,0.9999045671,0.9766639377,0.5782002922,0.9293121774
1.521521522,0.9999997576,0.999993558,1,0.9998753022,0.8960999309,0.9999065356,0.9767988261,0.5788208523,0.9298514358
1.523523524,0.9999997615,0.9999936592,1,0.9998767794,0.8964385054,0.9999084634,0.9769328814,0.5794404012,0.9303868213
1.525525526,0.9999997653,0.9999937587,1,0.9998782384,0.8967758355,0.9999103513,0.9770661091,0.58005894,0.9309183585
1.527527528,0.9999997691,0.9999938565,1,0.9998796792,0.8971119262,0.9999122001,0.9771985145,0.5806764704,0.9314460714
1.52952953,0.9999997728,0.9999939528,1,0.9998811022,0.8974467825,0.9999140106,0.9773301031,0.5812929937,0.9319699845
1.531531532,0.9999997765,0.9999940476,1,0.9998825076,0.8977804094,0.9999157837,0.9774608801,0.5819085114,0.9324901216
1.533533534,0.99999978,0.9999941407,1,0.9998838955,0.8981128118,0.9999175202,0.9775908509,0.5825230248,0.9330065068
1.535535536,0.9999997836,0.9999942324,1,0.9998852663,0.8984439946,0.9999192206,0.9777200207,0.5831365354,0.9335191638
1.537537538,0.999999787,0.9999943226,1,0.9998866201,0.8987739628,0.999920886,0.9778483946,0.5837490446,0.9340281165
1.53953954,0.9999997905,0.9999944113,1,0.9998879572,0.8991027213,0.9999225168,0.977975978,0.5843605539,0.9345333885
1.541541542,0.9999997938,0.9999944986,1,0.9998892778,0.8994302749,0.9999241139,0.9781027758,0.5849710647,0.9350350033
1.543543544,0.9999997971,0.9999945845,1,0.999890582,0.8997566284,0.999925678,0.9782287933,0.5855805784,0.9355329842
1.545545546,0.9999998004,0.999994669,1,0.9998918702,0.9000817868,0.9999272097,0.9783540355,0.5861890965,0.9360273548
1.547547548,0.9999998036,0.9999947521,1,0.9998931424,0.9004057547,0.9999287098,0.9784785075,0.5867966203,0.936518138
1.54954955,0.9999998067,0.9999948339,1,0.999894399,0.9007285371,0.9999301788,0.9786022142,0.5874031513,0.9370053571
1.551551552,0.9999998098,0.9999949144,1,0.9998956401,0.9010501386,0.9999316174,0.9787251606,0.588008691,0.9374890351
1.553553554,0.9999998128,0.9999949935,1,0.9998968659,0.901370564,0.9999330263,0.9788473517,0.5886132408,0.9379691947
1.555555556,0.9999998158,0.9999950714,1,0.9998980767,0.9016898181,0.999934406,0.9789687924,0.5892168021,0.9384458588
1.557557558,0.9999998187,0.999995148,1,0.9998992725,0.9020079054,0.9999357572,0.9790894875,0.5898193764,0.9389190501
1.55955956,0.9999998216,0.9999952234,1,0.9999004536,0.9023248308,0.9999370804,0.9792094419,0.590420965,0.939388791
1.561561562,0.9999998244,0.9999952976,1,0.9999016202,0.9026405989,0.9999383763,0.9793286604,0.5910215695,0.9398551041
1.563563564,0.9999998272,0.9999953706,1,0.9999027725,0.9029552143,0.9999396453,0.9794471477,0.5916211912,0.9403180117
1.565565566,0.99999983,0.9999954424,1,0.9999039107,0.9032686817,0.9999408881,0.9795649087,0.5922198316,0.9407775361
1.567567568,0.9999998327,0.999995513,1,0.9999050349,0.9035810056,0.9999421052,0.9796819479,0.5928174922,0.9412336993
1.56956957,0.9999998353,0.9999955825,1,0.9999061453,0.9038921907,0.9999432972,0.9797982702,0.5934141744,0.9416865233
1.571571572,0.9999998379,0.9999956509,1,0.9999072421,0.9042022415,0.9999444645,0.9799138801,0.5940098795,0.9421360301
1.573573574,0.9999998405,0.9999957182,1,0.9999083255,0.9045111626,0.9999456076,0.9800287822,0.5946046091,0.9425822416
1.575575576,0.999999843,0.9999957845,1,0.9999093956,0.9048189585,0.9999467271,0.9801429812,0.5951983647,0.9430251792
1.577577578,0.9999998455,0.9999958496,1,0.9999104526,0.9051256336,0.9999478235,0.9802564816,0.5957911475,0.9434648648
1.57957958,0.999999848,0.9999959137,1,0.9999114967,0.9054311926,0.9999488972,0.9803692879,0.5963829591,0.9439013196
1.581581582,0.9999998504,0.9999959768,1,0.9999125281,0.9057356398,0.9999499487,0.9804814046,0.596973801,0.9443345651
1.583583584,0.9999998527,0.9999960389,1,0.9999135468,0.9060389798,0.9999509785,0.9805928362,0.5975636745,0.9447646226
1.585585586,0.999999855,0.9999961,1,0.9999145532,0.9063412169,0.9999519869,0.980703587,0.5981525811,0.9451915132
1.587587588,0.9999998573,0.9999961601,1,0.9999155472,0.9066423555,0.9999529746,0.9808136616,0.5987405222,0.945615258
1.58958959,0.9999998596,0.9999962192,1,0.9999165292,0.9069424001,0.9999539418,0.9809230642,0.5993274993,0.9460358778
1.591591592,0.9999998618,0.9999962774,1,0.9999174991,0.9072413551,0.999954889,0.9810317992,0.5999135139,0.9464533935
1.593593594,0.9999998639,0.9999963347,1,0.9999184573,0.9075392247,0.9999558166,0.981139871,0.6004985673,0.9468678258
1.595595596,0.9999998661,0.9999963911,1,0.9999194038,0.9078360134,0.9999567251,0.9812472837,0.601082661,0.9472791954
1.597597598,0.9999998682,0.9999964465,1,0.9999203388,0.9081317254,0.9999576148,0.9813540417,0.6016657965,0.9476875228
1.5995996,0.9999998703,0.9999965011,1,0.9999212624,0.9084263651,0.9999584861,0.9814601493,0.6022479751,0.9480928282
1.601601602,0.9999998723,0.9999965548,1,0.9999221748,0.9087199367,0.9999593394,0.9815656105,0.6028291984,0.9484951321
1.603603604,0.9999998743,0.9999966077,1,0.9999230761,0.9090124446,0.999960175,0.9816704295,0.6034094678,0.9488944546
1.605605606,0.9999998763,0.9999966597,1,0.9999239665,0.9093038929,0.9999609934,0.9817746105,0.6039887846,0.9492908158
1.607607608,0.9999998782,0.9999967109,1,0.999924846,0.9095942858,0.9999617949,0.9818781577,0.6045671505,0.9496842357
1.60960961,0.9999998801,0.9999967613,1,0.999925715,0.9098836277,0.9999625799,0.981981075,0.6051445667,0.950074734
1.611611612,0.999999882,0.9999968108,1,0.9999265733,0.9101719227,0.9999633486,0.9820833666,0.6057210348,0.9504623307
