Sample_no,RSN,fc_(MPa),fy_(MPa),Ab_(m2),Ac_(m2),Lx_(m),Ly_(m),Lz_(m),Nx,Ny,Nz,Ap_(m2),AR,Kfc,ρ,Tm_(sec),PGA_(g),PGV_(cm/sec),PGV/PGA_(sec),A_RMS_(g),V_RMS_(cm/sec),IA,CAV_(cm/sec),Tpred_(sec),Dsig_(sec),Sa(T1)_(g),T1_(s),T2_(s),T3_(s),Final_T1 (s),Final_T2 (s),Final_T3 (s),max_base_shear_kN,MIDR_1st_floor,MIDR_2nd_floor,MIDR_3rd_floor,MIDR_4th_floor,MIDR,Max_Park_Ang_DI_storey,Park_Ang_DI
1,4455,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.458,0.38582,21.82997,0.05768,0.05352,4.65578,2.11664,1348.63836,0.12,12.45,0.93252,0.2549,0.24853,0.22143,0.37902,0.29516,0.28912,586.257,0.472,0.397,0,0,0.472,0,0
1,4458,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.6677,0.38747,44.70002,0.1176,0.07711,10.07204,4.41474,2330.54859,0.38,19.67,0.83907,0.2549,0.24853,0.22143,0.38136,0.29608,0.28948,573.838,0.464,0.407,0,0,0.464,0,0
1,4863,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.5093,0.34576,33.74547,0.09949,0.05994,7.41925,3.32128,1991.93991,0.16,22.06,0.8661,0.2549,0.24853,0.22143,0.38526,0.29834,0.2909,590.327,0.483,0.418,0,0,0.483,0,0
1,5117,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.9413,0.49741,54.25167,0.11118,0.04401,7.91705,7.96699,5235.1299,0.96,49.65,1.02688,0.2549,0.24853,0.22143,0.37728,0.29426,0.28869,600.186,0.486,0.402,0,0,0.486,0,0
1,5259,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.2169,0.34798,63.2058,0.18516,0.03675,8.6995,6.2423,4333.44688,1.26,47.14,0.6404,0.2549,0.24853,0.22143,0.3497,0.27933,0.27824,430.011,0.308,0.271,0,0,0.308,0,0
1,5470,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,0.8953,0.43745,80.26981,0.18705,0.04725,10.14236,8.39287,5262.83169,0.96,55.01,0.89429,0.2549,0.24853,0.22143,0.38209,0.29669,0.28996,571.761,0.465,0.442,0,0,0.465,0,0
1,5665,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.4795,0.40191,95.69703,0.24272,0.04227,15.28482,8.26049,5424.87591,0.82,55.1,0.88296,0.2549,0.24853,0.22143,0.38034,0.2957,0.28935,573.483,0.46,0.391,0,0,0.46,0,0
1,5676,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.0868,0.36297,64.30775,0.1806,0.03359,6.70954,3.42428,2456.76874,1.26,20.96,0.59746,0.2549,0.24853,0.22143,0.34378,0.27758,0.27501,434.554,0.307,0.258,0,0,0.307,0,0
1,5814,20,500,0.08165,0.1024,3,3,2.9,3,2,2,54,1.5,1.44,0.0201258,1.1555,0.43933,77.31974,0.1794,0.05299,17.36752,5.19233,3469.22218,0.44,46.93,0.91517,0.2549,0.24853,0.22143,0.38408,0.29772,0.2906,592.347,0.484,0.419,0,0,0.484,0,0
2,139,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.3915,0.39736,32.69242,0.08387,0.09111,9.84802,2.68383,1295.37568,0.14,11,0.8505,0.2622,0.25202,0.22885,0.38715,0.31267,0.29561,723.949,0.469,0.423,0,0,0.469,0,0
2,334,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,1.3218,0.28209,71.28891,0.25761,0.08705,20.24969,7.00411,3657.26208,2.02,30.77,0.5578,0.2622,0.25202,0.22885,0.36646,0.29838,0.28602,560.296,0.327,0.289,0,0,0.327,0,0
2,410,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.4265,0.42675,27.78368,0.06637,0.0618,5.40371,1.26995,734.36209,0.12,6.255,0.85622,0.2622,0.25202,0.22885,0.38758,0.31168,0.29359,697.612,0.447,0.398,0,0,0.447,0,0
2,496,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.5113,0.54052,34.53304,0.06513,0.09349,8.53915,1.34355,635.35772,0.04,5.5425,0.89102,0.2622,0.25202,0.22885,0.34313,0.28414,0.27843,704.794,0.447,0.379,0,0,0.447,0,0
2,949,20,500,0.08165,0.1024,3,3,2.9,4,2,2,72,2,1.44,0.0201258,0.6317,0.49082,53.90067,0.11195,0.07601,10.13285,3.55958,1740.81558,0.52,13.78,0.84419,0.2622,0.25202,0.22885,0.40527,0.32253,0.29831,796.093,0.539,0.467,0,0,0.539,0,0
