PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.924924924924925,0.9999999821487106,0.9601464931538374,0.4853573534351483
0.9269269269269269,0.999999983280762,0.9608812488161457,0.4879750503208936
0.9289289289289289,0.999999984340824,0.9616033899026332,0.4905876160798705
0.9309309309309309,0.9999999853334842,0.9623131070612004,0.4931949600146769
0.9329329329329329,0.9999999862630371,0.9630105887798016,0.49579699268444316
0.934934934934935,0.9999999871335037,0.9636960213899063,0.4983936259031672
0.9369369369369369,0.9999999879486481,0.9643695890707085,0.5009847727378175
0.938938938938939,0.9999999887119944,0.965031473854058,0.5035703475062148
0.9409409409409409,0.9999999894268417,0.9656818556300839,0.5061502657746916
0.9429429429429429,0.9999999900962789,0.9663209121534881,0.5087244443555392
0.944944944944945,0.9999999907231977,0.966948819050479,0.5112928013042423
0.9469469469469469,0.9999999913103053,0.9675657498263242,0.5138552559165078
0.948948948948949,0.9999999918601362,0.9681718758734964,0.5164117287250946
0.950950950950951,0.9999999923750634,0.968767366480388,0.5189621414964433
0.9529529529529529,0.9999999928573086,0.9693523888405713,0.5215064172271158
0.954954954954955,0.9999999933089514,0.9699271080625829,0.5240444801400467
0.9569569569569569,0.9999999937319393,0.9704916871802072,0.5265762556806093
0.958958958958959,0.9999999941280953,0.9710462871632408,0.5291016705125052
0.960960960960961,0.9999999944991262,0.9715910669287131,0.5316206525134768
0.9629629629629629,0.9999999948466304,0.9721261833525444,0.5341331307708498
0.964964964964965,0.9999999951721037,0.9726517912816212,0.5366390355769102
0.9669669669669669,0.9999999954769471,0.973168043546267,0.5391382984241173
0.968968968968969,0.9999999957624721,0.9736750909730931,0.5416308520001613
0.970970970970971,0.9999999960299067,0.9741730823982058,0.5441166301828633
0.9729729729729729,0.9999999962804008,0.9746621646807558,0.54659556803493
0.974974974974975,0.9999999965150306,0.9751424827168101,0.549067601798559
0.9769769769769769,0.999999996734804,0.9756141794535285,0.5515326688899033
0.978978978978979,0.9999999969406649,0.9760773959036296,0.5539907078933995
0.980980980980981,0.9999999971334969,0.9765322711601281,0.55644165855596
0.9829829829829829,0.9999999973141271,0.9769789424113284,0.5588854617810364
0.984984984984985,0.9999999974833303,0.9774175449560588,0.5613220596225567
0.986986986986987,0.999999997641832,0.9778482122191303,0.563751395278739
0.988988988988989,0.9999999977903111,0.9782710757670068,0.5661734130857883
0.990990990990991,0.9999999979294037,0.9786862653236711,0.5685880585114764
0.992992992992993,0.9999999980597053,0.9790939087866734,0.5709952781486124
0.994994994994995,0.9999999981817733,0.9794941322433485,0.5733950197084031
0.996996996996997,0.9999999982961301,0.9798870599871892,0.5757872320137123
0.998998998998999,0.9999999984032644,0.9802728145343628,0.5781718649922165
1.001001001001001,0.9999999985036341,0.9806515166403578,0.5805488696694654
