PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.43243243243243246,0.9799397976612424,0.7716558466579626,0.3629672224018273
0.4344344344344344,0.9804649182731446,0.7748835230061644,0.36619838871447663
0.4364364364364364,0.980975983666257,0.7780705305113622,0.36942414922119415
0.43843843843843844,0.9814733730898304,0.7812172074396027,0.37264430227185386
0.44044044044044045,0.981957455712767,0.7843238953891205,0.37585865029118004
0.44244244244244246,0.9824285908758711,0.7873909390132041,0.3790669997434095
0.4444444444444444,0.9828871283388301,0.7904186857521545,0.3822691610963164
0.44644644644644643,0.9833334085219708,0.7934074855741546,0.3854649487846443
0.44844844844844844,0.9837677627428402,0.7963576907248591,0.38865418117298656
0.45045045045045046,0.9841905134476613,0.7992696554855159,0.39183668051815645
0.45245245245245247,0.9846019744377232,0.8021437359394346,0.39501227293108554
0.4544544544544544,0.985002451090762,0.8049802897466134,0.39818078833828874
0.45645645645645644,0.9853922405773967,0.8077796759263401,0.401342060442932
0.45845845845845845,0.9857716320726844,0.810542254647582,0.40449592668553863
0.46046046046046046,0.9861409069628619,0.8132683870269826,0.40764222820436774
0.4624624624624625,0.9865003390473434,0.8159584349342826,0.4107808097954983
0.46446446446446443,0.9868501947360443,0.8186127608049871,0.4139115198726492
0.46646646646646645,0.9871907332421047,0.8212317274600988,0.4170342104267678
0.46846846846846846,0.9875222067700854,0.8238156979327413,0.420148736985414
0.47047047047047047,0.987844860699711,0.8263650353015008,0.42325495857197015
0.4724724724724725,0.988158933765237,0.8288801025303116,0.4263527376647025
0.4744744744744745,0.9884646582305155,0.831361262314716,0.4294419401557019
0.47647647647647645,0.988762260059837,0.8338088769343325,0.43252243530972695
0.47847847847847846,0.9890519590846262,0.8362233081113665,0.43559409572297586
0.4804804804804805,0.9893339691660672,0.838604916875,0.43865679728180834
0.4824824824824825,0.9896084983537373,0.840954063431502,0.4417104191214413
0.4844844844844845,0.9898757490403266,0.8432711070399003,0.44475484358463946
0.48648648648648646,0.9901359181125181,0.8455564058930611,0.44778995618041995
0.48848848848848847,0.9903891970981091,0.8478103170040245,0.4508156455427935
0.4904904904904905,0.9906357723094473,0.8500331960974434,0.4538318033895571
0.4924924924924925,0.990875824983259,0.8522253975059833,0.45683832448116035
0.4944944944944945,0.9911095314169441,0.8543872740715351,0.4598351065796597
0.4964964964964965,0.9913370631014145,0.8565191770511025,0.46282205040777824
0.4984984984984985,0.9915585868505474,0.8586214560272218,0.4657990596080869
0.5005005005005005,0.9917742649273302,0.8606944588227833,0.46876604070232186
